case_id,suite,pattern,stage,film,paper,reference_status,metal_status,max_abs,p99_abs,p95_abs,mean_abs,rmse,nrmse,psnr,ssim,mean_ref,mean_actual,std_ref,std_actual,mean_abs_delta,std_abs_delta,power_similarity,threshold_scale,status
quick__rgb_channel_ramps__film_log_raw,non_spatial,rgb_channel_ramps,film_log_raw,kodak_portra_400,kodak_portra_endura,generated,OK,8.419291383399141e-06,8.691570136370965e-07,3.2433989405611375e-07,1.210550779748537e-07,2.2660375755313922e-07,9.952351531249455e-08,140.0414858496375,0.9999999999914261,0.33267778465393644,0.332677742435428,0.36239660062168094,0.3623966268175753,4.221850841146235e-08,2.6195894342606607e-08,nan,0.9,PASSED
quick__rgb_channel_ramps__film_density_cmy,non_spatial,rgb_channel_ramps,film_density_cmy,kodak_portra_400,kodak_portra_endura,generated,OK,5.041642796910217e-06,4.905969394874959e-07,1.9477599927375524e-07,7.617130840125606e-08,1.343657922066845e-07,1.0843081295535539e-07,139.29694572220274,0.999999999990492,0.9307271729488065,0.9307271420389911,0.21372468409429662,0.21372468004440737,3.0909815373902916e-08,4.049889257284889e-09,nan,0.9,PASSED
quick__rgb_channel_ramps__print_log_raw,non_spatial,rgb_channel_ramps,print_log_raw,kodak_portra_400,kodak_portra_endura,generated,OK,4.918877252013676e-06,4.882440614471772e-07,2.3630876579416874e-07,9.616047368985866e-08,1.4798083329345722e-07,1.274786794717133e-07,137.8912488790396,0.9999999999868526,-0.18773728168320028,-0.18773723768408596,0.1973379532748322,0.19733794832805465,4.3999114324178024e-08,4.946777543146652e-09,nan,0.9,PASSED
quick__rgb_channel_ramps__print_density_cmy,non_spatial,rgb_channel_ramps,print_density_cmy,kodak_portra_400,kodak_portra_endura,generated,OK,6.043197905869491e-06,1.0895162134016973e-06,4.286294837507755e-07,1.2990642484683713e-07,2.5531040089305007e-07,1.1580721700751213e-07,138.7252874980313,0.9999999999882444,0.32952692367849173,0.3295269720477805,0.34094152183370746,0.3409415281649098,4.836928874096813e-08,6.331202340170705e-09,nan,0.9,PASSED
quick__rgb_channel_ramps__final_linear_rgb,non_spatial,rgb_channel_ramps,final_linear_rgb,kodak_portra_400,kodak_portra_endura,generated,OK,1.6532071832053852e-06,4.82831386678928e-07,3.807168302449871e-07,1.7034595708808201e-07,2.0643795169948364e-07,3.501102929978476e-07,129.11590242186264,0.9999999999578407,0.40181597355874094,0.4018158185499059,0.1517736416940137,0.15177358452270695,1.5500883504548923e-07,5.717130674431914e-08,nan,0.9,PASSED
quick__primary_secondary_skin_foliage_patches__film_log_raw,non_spatial,primary_secondary_skin_foliage_patches,film_log_raw,kodak_portra_400,kodak_portra_endura,generated,OK,5.85414550224872e-07,5.85414550224872e-07,2.997511510116624e-07,1.1879707423387282e-07,1.6154260170332858e-07,8.265715964792902e-08,141.65439044961394,0.9999999999971178,0.11085563647865695,0.11085562947692625,0.5857814438989202,0.5857814258988512,7.0017307091108094e-09,1.8000068990886575e-08,nan,0.9,PASSED
quick__primary_secondary_skin_foliage_patches__film_density_cmy,non_spatial,primary_secondary_skin_foliage_patches,film_density_cmy,kodak_portra_400,kodak_portra_endura,generated,OK,3.210035388612198e-07,3.210035388612198e-07,2.2448199277214087e-07,7.058244307436811e-08,9.811384373127156e-08,7.701400715480229e-08,142.26860558049805,1.0000000000002272,0.811462008957405,0.8114619959342235,0.32284123552451743,0.3228412119660284,1.3023181422155972e-08,2.3558489048447484e-08,nan,0.9,PASSED
quick__primary_secondary_skin_foliage_patches__print_log_raw,non_spatial,primary_secondary_skin_foliage_patches,print_log_raw,kodak_portra_400,kodak_portra_endura,generated,OK,4.2482741725857753e-07,4.2482741725857753e-07,1.7878752645028584e-07,7.564895039138605e-08,1.0643907503293424e-07,8.726171627056043e-08,141.18352499051736,0.9999999999985102,-0.055435778809622596,-0.05543577651011825,0.33178704486521826,0.331787015804204,2.299504343883374e-09,2.9061014261699825e-08,nan,0.9,PASSED
quick__primary_secondary_skin_foliage_patches__print_density_cmy,non_spatial,primary_secondary_skin_foliage_patches,print_density_cmy,kodak_portra_400,kodak_portra_endura,generated,OK,1.1195093018168123e-06,1.1195093018168123e-06,4.839064191575204e-07,1.282028588770624e-07,2.3635081773813677e-07,1.1053054964155197e-07,139.13035340662407,0.9999999999999322,0.6235483867249907,0.623548354735855,0.5924280448928352,0.5924280099412711,3.198913567370454e-08,3.4951564087393194e-08,nan,0.9,PASSED
quick__primary_secondary_skin_foliage_patches__final_linear_rgb,non_spatial,primary_secondary_skin_foliage_patches,final_linear_rgb,kodak_portra_400,kodak_portra_endura,generated,OK,3.0671214562572047e-07,3.0671214562572047e-07,3.015310867660048e-07,1.0837592617351253e-07,1.4658642316413472e-07,1.945740610215588e-07,134.21830113398005,0.9999999999998153,0.2965173932643774,0.2965173109417947,0.23397260568391104,0.23397251359160548,8.232258275064908e-08,9.209230555917713e-08,nan,0.9,PASSED
quick__hard_edge__film_log_raw,non_spatial,hard_edge,film_log_raw,kodak_portra_400,kodak_portra_endura,generated,OK,1.541786109893195e-07,1.541786109893195e-07,1.541786109893195e-07,6.996378865142816e-08,8.87776739469896e-08,7.141264201304955e-08,142.9244979856232,0.9999999999999805,-0.04117955565407221,-0.041179527839024864,0.6215190264177328,0.6215190412439471,2.7815047348722644e-08,1.4826214256302706e-08,nan,0.9,PASSED
quick__hard_edge__film_density_cmy,non_spatial,hard_edge,film_density_cmy,kodak_portra_400,kodak_portra_endura,generated,OK,8.92733695856407e-08,8.92733695856407e-08,8.92733695856407e-08,5.819416050896938e-08,6.073254084778823e-08,6.833010429738188e-08,143.30775832760895,0.99999999999994,0.7303022979085116,0.7303023040294647,0.3439876683779771,0.3439876678945178,6.120953077726199e-09,4.834593281266564e-10,nan,0.9,PASSED
