candidate,perf_status,quality_status,quality_policy,promotable,case,width,height,avg_wall_ms,baseline_avg_wall_ms,wall_delta_pct,speedup,avg_pass_count,baseline_avg_pass_count,pass_count_delta,threadgroup,diffusion_group_size,scanner_image_storage,blur_backend,blur_downsample,intermediate_precision,diffusion_cluster_sigma,halation_grouped_tail,scanner_mps,grain_blur_recurrence,dir_tail_backend,source_format,destination_format,host_layout
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,halation-only,1920,1080,22.928,22.902,0.11352720286437777,0.9988660153524076,21.0,21.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,halation-boost,1920,1080,24.182,24.148,0.14079840980619066,0.9985939955338682,24.0,24.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,camera-diffusion-only,1920,1080,328.648,350.456,-6.222749788846529,1.066356709914559,34.0,60.0,-26.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,print-diffusion-only,1920,1080,328.942,349.67,-5.927874853433239,1.0630141483909017,35.0,61.0,-26.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,dir-only,1920,1080,35.292,35.606,-0.8818738414873899,1.0088972004986967,8.0,8.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,scanner-only,1920,1080,6.861,6.964,-1.4790350373348742,1.015012388864597,9.0,9.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,scanner-glare,1920,1080,10.565,10.884,-2.930907754502029,1.0301940369143399,9.0,9.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,all-effects,1920,1080,448.958,496.876,-9.64385480482051,1.1067315873645196,57.0,83.0,-26.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,default-final,3840,2160,59.8,58.968,1.4109347442680669,0.9860869565217393,5.0,5.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,production-grain,3840,2160,182.036,183.33,-0.7058310151093716,1.0071084840361249,11.0,11.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
